Country/Region,Date,Downloads,Revenue,Spend,Gross Margin,Gross Margin per Download,DAU,ARPDAU
Brazil,12/09/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/10/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/11/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/15/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/17/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/21/2017,5,0.26,0,0.26,0.05,0,N/A
Brazil,12/23/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/27/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/28/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/29/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/30/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/03/2018,4,0.02,0,0.02,0.0,0,N/A
Brazil,01/04/2018,1,0.06,0,0.06,0.06,0,N/A
Brazil,01/06/2018,2,0.0,0,0.0,0.0,0,N/A
Brazil,01/07/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/12/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/17/2018,1,0.03,0,0.03,0.03,0,N/A
Brazil,01/18/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/20/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/22/2018,2,0.0,0,0.0,0.0,0,N/A
Brazil,01/25/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/26/2018,2,0.0,0,0.0,0.0,0,N/A
Brazil,01/29/2018,2,0.0,0,0.0,0.0,0,N/A
Brazil,02/01/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/06/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/13/2018,1,0.03,0,0.03,0.03,0,N/A
Brazil,02/21/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/25/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/06/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/27/2018,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/10/2018,1,0.0,0,0.0,0.0,0,N/A
Belarus,03/16/2017,1,0.01,0,0.01,0.01,0,N/A
Belarus,03/22/2017,1,0.0,0,0.0,0.0,0,N/A
Belarus,06/10/2017,1,0,0,0,0.0,0,N/A
Belarus,06/20/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/26/2016,1,0.71,0,0.71,0.71,0,N/A
Russia,07/17/2016,0,0.46,0,0.46,N/A,0,N/A
Russia,11/13/2016,1,0,0,0,0.0,0,N/A
Russia,11/15/2016,1,0,0,0,0.0,0,N/A
Russia,11/17/2016,1,0,0,0,0.0,0,N/A
Russia,11/23/2016,1,0,0,0,0.0,0,N/A
Russia,11/30/2016,1,0,0,0,0.0,0,N/A
Russia,01/05/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,01/09/2017,1,0,0,0,0.0,0,N/A
Russia,01/19/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,02/07/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,02/11/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,02/14/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,02/17/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,02/25/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/01/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/05/2017,2,0.0,0,0.0,0.0,0,N/A
Russia,03/09/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/10/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/11/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/13/2017,0,0.01,0,0.01,N/A,0,N/A
Russia,03/15/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/17/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/24/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/26/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,03/29/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,04/02/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,04/05/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,04/07/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,04/08/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,04/15/2017,1,0.04,0,0.04,0.04,0,N/A
Russia,04/16/2017,1,0.07,0,0.07,0.07,0,N/A
Russia,04/18/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,04/27/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,05/01/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,05/07/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,05/15/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,05/18/2017,2,0.0,0,0.0,0.0,0,N/A
Russia,05/22/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,05/23/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,05/27/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/06/2017,2,0,0,0,0.0,0,N/A
Russia,06/07/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/10/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/12/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/15/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/16/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/19/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/20/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/22/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/23/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/25/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,06/29/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,07/16/2017,2,0.01,0,0.01,0.0,0,N/A
Russia,07/17/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,07/18/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,07/19/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,07/22/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,07/23/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,07/24/2017,2,0.05,0,0.05,0.03,0,N/A
Russia,07/26/2017,1,0,0,0,0.0,0,N/A
Russia,08/01/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,08/11/2017,0,0.01,0,0.01,N/A,0,N/A
Russia,08/12/2017,1,0,0,0,0.0,0,N/A
Russia,09/02/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,09/05/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,09/16/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,09/22/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,10/02/2017,1,0,0,0,0.0,0,N/A
Russia,10/12/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,10/21/2017,1,0,0,0,0.0,0,N/A
Russia,10/23/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,10/31/2017,1,0,0,0,0.0,0,N/A
Russia,11/09/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,11/11/2017,1,0.66,0,0.66,0.66,0,N/A
Russia,11/18/2017,1,0,0,0,0.0,0,N/A
Russia,12/03/2017,1,0,0,0,0.0,0,N/A
Russia,12/12/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,12/17/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,12/26/2017,1,0.0,0,0.0,0.0,0,N/A
Russia,01/14/2018,1,0.0,0,0.0,0.0,0,N/A
Russia,01/21/2018,1,0.0,0,0.0,0.0,0,N/A
Russia,01/24/2018,1,0.0,0,0.0,0.0,0,N/A
Russia,02/10/2018,1,0.0,0,0.0,0.0,0,N/A
Russia,02/24/2018,1,0,0,0,0.0,0,N/A
Russia,02/28/2018,2,0.0,0,0.0,0.0,0,N/A
Russia,03/05/2018,1,0.0,0,0.0,0.0,0,N/A
Russia,03/14/2018,1,0.0,0,0.0,0.0,0,N/A
Russia,03/30/2018,1,0.0,0,0.0,0.0,0,N/A
Russia,04/06/2018,2,0.0,0,0.0,0.0,0,N/A
Serbia,12/31/2016,1,0.0,0,0.0,0.0,0,N/A
Serbia,02/09/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,02/17/2017,0,0.02,0,0.02,N/A,0,N/A
Serbia,02/28/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,04/09/2017,0,0.01,0,0.01,N/A,0,N/A
Serbia,05/02/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,05/10/2017,1,0,0,0,0.0,0,N/A
Serbia,05/18/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,05/29/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,06/21/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,06/22/2017,2,0.0,0,0.0,0.0,0,N/A
Serbia,06/28/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,07/04/2017,1,0,0,0,0.0,0,N/A
Serbia,07/07/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,07/11/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,08/02/2017,0,0.01,0,0.01,N/A,0,N/A
Serbia,09/27/2017,1,0,0,0,0.0,0,N/A
Serbia,10/11/2017,1,0.0,0,0.0,0.0,0,N/A
Serbia,01/04/2018,1,0.0,0,0.0,0.0,0,N/A
Serbia,01/30/2018,1,0.0,0,0.0,0.0,0,N/A
Serbia,03/08/2018,1,0.0,0,0.0,0.0,0,N/A
Reunion,12/12/2016,1,0.06,0,0.06,0.06,0,N/A
Reunion,12/29/2016,1,0.0,0,0.0,0.0,0,N/A
Reunion,05/30/2017,1,0.04,0,0.04,0.04,0,N/A
Reunion,02/18/2018,1,0.0,0,0.0,0.0,0,N/A
Turkmenistan,03/07/2017,1,0.0,0,0.0,0.0,0,N/A
Romania,05/06/2015,0,0.55,0,0.55,N/A,0,N/A
Romania,06/26/2016,1,0.56,0,0.56,0.56,0,N/A
Romania,07/06/2016,1,0,0,0,0.0,0,N/A
Romania,07/07/2016,1,1.12,0,1.12,1.12,0,N/A
Romania,11/17/2016,1,0,0,0,0.0,0,N/A
Romania,11/25/2016,2,0,0,0,0.0,0,N/A
